CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,20121.0,21026.0,-4.304194806430134,3.509,3.9662,-11.52740658564874,4.9135610925497,1100,sun-pharmaceutical-industries,Large Cap,Jan-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,19627.0,20510.0,-4.305216967333008,3.1919,3.2565,-1.983724857976349,4.46953424089752,1100,bharti-airtel,Large Cap,Jan-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,5104.0,5334.0,-4.311961004874391,2.8468999999999998,3.2531,-12.48655128953921,3.98643974761463,1100,divi's-laboratories,Large Cap,Jan-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,22687.0,23708.0,-4.306563185422642,2.8422,3.0385000000000004,-6.460424551587953,3.97985846031484,1100,icici-bank,Large Cap,Jan-2025
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,9283.0,9701.0,-4.308834140810226,2.6658,2.8174,-5.380847589976582,3.73285014548846,1100,pidilite-industries,Large Cap,Jan-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,6472.0,6764.0,-4.316972205795387,2.6614999999999998,2.7697000000000003,-3.9065602772863666,3.72682896774609,1100,tata-consultancy-services,Large Cap,Jan-2025
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,58895.0,61545.0,-4.305792509545861,2.6356,2.9766000000000004,-11.45602365114561,3.69056187390254,1100,itc,Large Cap,Jan-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,12587.0,13153.0,-4.303200790694138,2.6187,3.0985,-15.484912054219787,3.66689724510114,1100,lupin,Mid Cap,Jan-2025
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,17853.0,18656.0,-4.304245283018868,2.5423,3.0324,-16.162115815855437,3.55991631963212,1100,united-spirits,Large Cap,Jan-2025
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4909.0,5130.0,-4.307992202729045,2.5181,2.4433000000000002,3.061433307412102,3.52602969140764,1100,britannia-industries,Large Cap,Jan-2025
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,3555.0,3715.0,-4.306864064602961,2.4211,2.7106,-10.680292186231826,3.390203123731,1100,apollo-hospitals-enterprise,Mid Cap,Jan-2025
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,8551.0,8936.0,-4.308415398388541,2.4127,2.3954,0.7222175837021033,3.37844082302498,1100,colgate-palmolive-india,Mid Cap,Jan-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,13962.0,14590.0,-4.3043180260452365,2.4091,2.7975,-13.883824843610368,3.37339983700812,1100,hcl-technologies,Large Cap,Jan-2025
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,12822.0,13399.0,-4.306291514292111,2.383,2.3954,-0.5176588461217253,3.33685268838585,1100,icici-lombard-general-insurance-company,Mid Cap,Jan-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,19402.0,20275.0,-4.305795314426634,2.3619,2.8152,-16.10187553282182,3.30730690923145,1100,dr-reddy's-laboratories,Large Cap,Jan-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,12519.0,13082.0,-4.303623299189726,2.3533,2.4594,-4.3140603399202995,3.29526455374671,1100,infosys,Large Cap,Jan-2025
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,9359.0,9780.0,-4.304703476482617,2.3480000000000003,2.3890000000000002,-1.7161992465466698,3.28784310211077,1100,grasim-industries,Large Cap,Jan-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,7069.0,7387.0,-4.304859888994179,2.3109,2.4821,-6.897385278594739,3.23589294065919,1100,torrent-pharmaceuticals,Large Cap,Jan-2025
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,3785.0,3955.0,-4.298356510745891,2.2988,2.585,-11.071566731141202,3.21894962654695,1100,siemens,Large Cap,Jan-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,13444.0,14049.0,-4.306356324293544,2.2511,2.397,-6.086775135586139,3.15215656182349,1100,tech-mahindra,Large Cap,Jan-2025
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,1940.0,2027.0,-4.292057227429699,2.2286,2.3161,-3.7779025085272657,3.12065039921809,1100,ultratech-cement,Large Cap,Jan-2025
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,14016.0,14647.0,-4.308049429917389,2.1952000000000003,2.4535,-10.52781740370898,3.07388125117273,1100,havells-india,Large Cap,Jan-2025
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2432.0,2541.0,-4.289649744195199,2.1518,2.2357,-3.752739634119062,3.01310936419164,1100,bajaj-auto,Large Cap,Jan-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,2713.0,2835.0,-4.303350970017637,2.0953999999999997,2.46,-14.821138211382118,2.93413391659409,1100,info-edge-india,Large Cap,Jan-2025
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,8167.0,8535.0,-4.311657879320445,2.0074,2.0215,-0.6975018550581235,2.81090981395961,1100,tvs-motor-company,Large Cap,Jan-2025
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,652.0,681.0,-4.258443465491924,1.8731,2.3222,-19.33941951597623,2.62285303005268,1100,bosch,Large Cap,Jan-2025
171968,4931,1,Zydus Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,18815.0,19661.0,-4.302934743909262,1.8255000000000001,1.9105,-4.449097095001308,2.55619999271858,1100,zydus-lifesciences,Large Cap,Jan-2025
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6214.0,6493.0,-4.296935160942553,1.8108000000000002,2.1258,-14.817950889077053,2.53561596648304,1100,cummins-india,Large Cap,Jan-2025
152238,8313,1,MRF Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,152.0,159.0,-4.40251572327044,1.7272,2.0771,-16.845602041307597,2.41855306898029,1100,mrf,Mid Cap,Jan-2025
