CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
188402,98309,1,Jubilant Ingrevia Ltd.,Chemicals,Chemicals,Domestic Equities,7937996.0,7937996.0,0.0,553.0799,653.3368,-15.345362453178824,3.68826138049205,1100,jubilant-ingrevia,Small Cap,Jan-2025
614,7779,1,eClerx Services Ltd.,IT,Information Technology,Domestic Equities,1600000.0,1586315.0,0.8626912057189147,489.30400000000003,552.577,-11.450530876239865,3.26296624867453,1100,eclerx-services,Small Cap,Jan-2025
114411,5677,1,Welspun Corp Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,6500000.0,6500000.0,0.0,482.3,528.97,-8.82280658638486,3.21625946596742,1100,welspun-corp,Small Cap,Jan-2025
96716,89715,1,Dodla Dairy Ltd,FMCG,Fast Moving Consumer Goods,Domestic Equities,3750000.0,3638348.0,3.068755380189031,425.55,462.525,-7.994162477703908,2.8378171589103,1100,dodla-dairy,Small Cap,Jan-2025
114433,5462,1,Cyient Ltd.,IT,Information Technology,Domestic Equities,2916084.0,2447699.0,19.13572706447974,424.12980000000005,449.728,-5.691929343959014,2.82834643178285,1100,cyient,Small Cap,Jan-2025
151986,6639,1,Safari Industries (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1629601.0,1629601.0,0.0,392.7338,423.9814,-7.3700402895032715,2.61897947720373,1100,safari-industries-india,Small Cap,Jan-2025
133631,6516,1,Suprajit Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9260495.0,9260495.0,0.0,376.6706,425.4271,-11.460600417791913,2.51186063197518,1100,suprajit-engineering,Small Cap,Jan-2025
152578,8075,1,LT Foods Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,9587705.0,9587705.0,0.0,374.0164,401.8207,-6.9195788071644895,2.49416086860265,1100,lt-foods,Small Cap,Jan-2025
133520,5959,1,Triveni Engineering & Industries Ltd.,Agri,Agriculture,Domestic Equities,9200000.0,9143737.0,0.615317347819606,352.54400000000004,414.30269999999996,-14.906661240682226,2.35097030306867,1100,triveni-engineering-industries,Small Cap,Jan-2025
152591,8270,1,Lumax Auto Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6150000.0,6150000.0,0.0,334.0065,396.8902,-15.844104994278005,2.22735137325243,1100,lumax-auto-technologies,Small Cap,Jan-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2254904.0,2254904.0,0.0,325.45029999999997,382.25129999999996,-14.859596291758848,2.17029360994596,1100,ipca-laboratories,Mid Cap,Jan-2025
37947,6666,1,Dhanuka Agritech Ltd.,Chemicals,Chemicals,Domestic Equities,1897135.0,1897135.0,0.0,273.8704,280.3207,-2.301043055329124,1.82632856406445,1100,dhanuka-agritech,Small Cap,Jan-2025
171589,6039,1,Swaraj Engines Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,800909.0,800909.0,0.0,273.10200000000003,236.47639999999998,15.488057159192211,1.82120442188396,1100,swaraj-engines,Small Cap,Jan-2025
20766,6076,1,Techno Electric & Engineering Company Ltd.,Infrastructure,Infrastructure,Domestic Equities,2500000.0,2500000.0,0.0,269.4375,392.675,-31.38409626281276,1.79676738515778,1100,techno-electric-engineering-company,Small Cap,Jan-2025
134937,5507,1,Kirloskar Oil Engines Ltd.,Capital Goods,Capital Goods,Domestic Equities,2800000.0,2753465.0,1.6900523522180233,252.96599999999998,282.8222,-10.556526326434073,1.6869257558945,1100,kirloskar-oil-engines,Small Cap,Jan-2025
171829,5244,1,Thangamayil Jewellery Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,1361027.0,1361027.0,0.0,248.1765,266.9859,-7.045091145262722,1.65498655889626,1100,thangamayil-jewellery,Small Cap,Jan-2025
19092,7145,1,IFB Industries Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1750000.0,1750000.0,0.0,242.3312,331.7738,-26.958909956120703,1.61600666784003,1100,ifb-industries,Small Cap,Jan-2025
133287,5307,1,Atul Ltd.,Chemicals,Chemicals,Domestic Equities,380193.0,380193.0,0.0,238.9779,264.61240000000004,-9.687565662077818,1.59364489535977,1100,atul,Small Cap,Jan-2025
117,8100,1,Vardhman Textiles Ltd.,Textile,Textile,Domestic Equities,5000000.0,5000000.0,0.0,228.375,253.0,-9.733201581027668,1.52293853522768,1100,vardhman-textiles,Small Cap,Jan-2025
96304,15914,1,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Domestic Equities,1600000.0,1600000.0,0.0,221.94400000000002,203.648,8.984129478315536,1.48005285281915,1100,narayana-hrudayalaya,Small Cap,Jan-2025
65893,102659,1,Archean Chemical Industries Ltd.,Chemicals,Chemicals,Domestic Equities,3750000.0,3650000.0,2.73972602739726,219.6,244.38580000000002,-10.14207863140985,1.46442168510563,1100,archean-chemical-industries,Small Cap,Jan-2025
152554,7075,1,Voltamp Transformers Ltd.,Capital Goods,Capital Goods,Domestic Equities,260000.0,246454.0,5.4963603755670425,217.31189999999998,249.8008,-13.005923119541663,1.4491632914003,1100,voltamp-transformers,Small Cap,Jan-2025
133044,7653,1,Ratnamani Metals & Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,750000.0,750000.0,0.0,214.395,238.36880000000002,-10.057440403274258,1.42971169024691,1100,ratnamani-metals-tubes,Small Cap,Jan-2025
311,7883,1,Aarti Drugs Ltd.,Healthcare,Healthcare,Domestic Equities,5250322.0,5032226.0,4.3339865896325005,212.84810000000002,231.6837,-8.129877069470135,1.41939605315816,1100,aarti-drugs,Small Cap,Jan-2025
1336,89761,1,Sansera Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1663218.0,1663218.0,0.0,209.9646,247.7945,-15.266642318534112,1.40016718280751,1100,sansera-engineering,Small Cap,Jan-2025
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,500000.0,500000.0,0.0,207.435,162.29,27.8174872142461,1.38329832536378,1100,navin-fluorine-international,Small Cap,Jan-2025
152060,6169,1,Nilkamal Ltd.,Plastic Products,Plastic Products,Domestic Equities,1178358.0,1178358.0,0.0,202.59509999999997,224.813,-9.882835956995374,1.35102303158535,1100,nilkamal,Small Cap,Jan-2025
192109,100019,1,Prudent Corporate Advisory Services Ltd.,Finance,Finance,Domestic Equities,988000.0,988000.0,0.0,200.7616,270.03520000000003,-25.653544426800657,1.33879617748863,1100,prudent-corporate-advisory-services,Small Cap,Jan-2025
152036,8089,1,TCPL Packaging Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,650000.0,645602.0,0.6812246554378704,200.3105,206.11169999999998,-2.8145903410626327,1.33578797793421,1100,tcpl-packaging,Small Cap,Jan-2025
158970,15023,1,Greenlam Industries Ltd.,Construction Materials,Construction Materials,Domestic Equities,3600000.0,3510248.0,2.5568563816573646,198.93599999999998,204.24380000000002,-2.598756975731956,1.32662200522848,1100,greenlam-industries,Small Cap,Jan-2025
19064,6023,1,Westlife Foodworld Ltd,Hospitality,Hospitality,Domestic Equities,2726563.0,2726563.0,0.0,197.90759999999997,216.06650000000002,-8.404310709897198,1.31976403045178,1100,westlife-foodworld,Small Cap,Jan-2025
140194,102059,1,Rainbow Children's Medicare Ltd.,Healthcare,Healthcare,Domestic Equities,1336915.0,1336915.0,0.0,190.34330000000003,200.47709999999998,-5.0548416751838365,1.26932083849985,1100,rainbow-children's-medicare,Small Cap,Jan-2025
133393,7068,1,GHCL Ltd.,Chemicals,Chemicals,Domestic Equities,2600000.0,2600000.0,0.0,190.07299999999998,188.11,1.0435383552176878,1.26751831945848,1100,ghcl,Small Cap,Jan-2025
155709,99978,1,Paradeep Phosphates Ltd.,Chemicals,Chemicals,Domestic Equities,16000000.0,21000000.0,-23.809523809523807,180.49599999999998,231.483,-22.026239507868834,1.20365326263582,1100,paradeep-phosphates,Small Cap,Jan-2025
842,17090,1,S.P. Apparels Ltd.,Textile,Textile,Domestic Equities,2176332.0,2176332.0,0.0,179.1557,199.352,-10.130974356916415,1.19471535560236,1100,sp-apparels,Small Cap,Jan-2025
38104,5131,1,La Opala RG Ltd.,Construction Materials,Construction Materials,Domestic Equities,6577549.0,6577549.0,0.0,178.2845,209.3634,-14.844476159634393,1.18890568268768,1100,la-opala-rg,Small Cap,Jan-2025
96376,16986,1,Shriram Pistons & Rings Ltd,Capital Goods,Capital Goods,Domestic Equities,860000.0,810921.0,6.052254165325599,174.6703,177.19029999999998,-1.4221997479546005,1.164804075883,1100,shriram-pistons-rings,Small Cap,Jan-2025
1607,90490,1,Prince Pipes and Fittings Ltd.,Plastic Products,Plastic Products,Domestic Equities,4618486.0,4618486.0,0.0,171.1611,198.2716,-13.673415658117447,1.1414026707037,1100,prince-pipes-and-fittings,Small Cap,Jan-2025
171778,6916,1,Shoppers Stop Ltd.,Retailing,Retailing,Domestic Equities,2919497.0,2919497.0,0.0,167.34560000000002,175.9873,-4.910411148986309,1.11595867735434,1100,shoppers-stop,Small Cap,Jan-2025
195761,102061,1,Campus Activewear Ltd.,FMCG,Retailing,Domestic Equities,6100000.0,5728719.0,6.4810475081776575,166.347,184.8944,-10.031347623291987,1.10929942646752,1100,campus-activewear,Small Cap,Jan-2025
152192,8410,1,Kalyani Steels Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1848243.0,1851023.0,-0.15018722079628402,165.2884,215.84779999999998,-23.42363461661411,1.10224006036618,1100,kalyani-steels,Small Cap,Jan-2025
75798,7006,1,Manappuram Finance Ltd.,Finance,Finance,Domestic Equities,7859923.0,7859923.0,0.0,154.0781,148.1202,4.02234131468901,1.02748320054587,1100,manappuram-finance,Small Cap,Jan-2025
817,98504,1,Rolex Rings Ltd,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,851772.0,851772.0,0.0,153.1742,156.66639999999998,-2.2290676239448874,1.02145546483929,1100,rolex-rings,Small Cap,Jan-2025
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,230000.0,300000.0,-23.333333333333332,149.54139999999998,221.62650000000002,-32.52548770115487,0.997229822318103,1100,amber-enterprises-india,Small Cap,Jan-2025
182599,95655,1,Borosil Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,3600000.0,3600000.0,0.0,139.608,145.656,-4.1522491349481045,0.930988081121252,1100,borosil,Small Cap,Jan-2025
153043,7287,1,Just Dial Ltd.,Business Services,Information Technology,Domestic Equities,1543718.0,1543718.0,0.0,137.5916,153.3684,-10.286864830043218,0.917541542478962,1100,just-dial,Small Cap,Jan-2025
58780,8388,1,Alembic Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,1409091.0,1409091.0,0.0,129.6575,150.2443,-13.702216989263489,0.864632307088267,1100,alembic-pharmaceuticals,Small Cap,Jan-2025
745,109745,1,RR Kabel Ltd.,Electricals,Electricals,Domestic Equities,1050000.0,908211.0,15.611900758744387,128.73,130.7506,-1.5453848777749355,0.858447192730637,1100,rr-kabel,Small Cap,Jan-2025
19994,70937,1,Sheela Foam Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1300000.0,1275186.0,1.9459122041804098,119.0085,126.4411,-5.878310138080104,0.793618525099698,1100,sheela-foam,Small Cap,Jan-2025
2348,5821,1,Sharda Cropchem Ltd.,Chemicals,Chemicals,Domestic Equities,2000000.0,2000000.0,0.0,117.29,159.22,-26.334631327722647,0.782158558497448,1100,sharda-cropchem,Small Cap,Jan-2025
96370,8357,1,Mold-Tek Packaging Ltd.,Plastic Products,Plastic Products,Domestic Equities,2100000.0,2100000.0,0.0,115.88850000000001,139.6815,-17.03375178531158,0.772812533945191,1100,mold-tek-packaging,Small Cap,Jan-2025
877,70910,1,Sandhar Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2523344.0,2523344.0,0.0,111.3047,128.2616,-13.220558608344202,0.742245065274029,1100,sandhar-technologies,Small Cap,Jan-2025
643,7404,1,KNR Constructions Ltd.,Infrastructure,Infrastructure,Domestic Equities,3528640.0,3528640.0,0.0,104.7124,122.14389999999999,-14.271281660402197,0.698283739797154,1100,knr-constructions,Small Cap,Jan-2025
196905,102455,1,Harsha Engineers International Ltd.,Capital Goods,Capital Goods,Domestic Equities,2500000.0,2400000.0,4.166666666666666,104.05,119.4,-12.855946398659967,0.693866467828966,1100,harsha-engineers-international,Small Cap,Jan-2025
133445,6416,1,Apar Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,137523.0,161235.0,-14.706484324123172,103.0315,166.35580000000002,-38.06557991966617,0.687074512062663,1100,apar-industries,Mid Cap,Jan-2025
546,5298,1,Amrutanjan Health Care Ltd.,Healthcare,Healthcare,Domestic Equities,1466269.0,1466269.0,0.0,97.70479999999999,105.9599,-7.790777454489861,0.65155295017718,1100,amrutanjan-health-care,Small Cap,Jan-2025
114436,6959,1,Engineers India Ltd.,Capital Goods,Capital Goods,Domestic Equities,5630873.0,5630873.0,0.0,96.3161,102.4875,-6.021612391755086,0.642292283537352,1100,engineers-india,Small Cap,Jan-2025
171403,76579,1,Equitas Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,13711254.0,13711254.0,0.0,91.1798,87.77940000000001,3.873801825940927,0.608040420599246,1100,equitas-small-finance-bank,Small Cap,Jan-2025
152344,8645,1,West Coast Paper Mills Ltd.,Paper,Paper,Domestic Equities,1672835.0,1536841.0,8.848931021491488,88.6603,85.4023,3.8148855475789425,0.591238915883292,1100,west-coast-paper-mills,Small Cap,Jan-2025
38106,5893,1,Stylam Industries Ltd.,Construction Materials,Construction Materials,Domestic Equities,436235.0,436235.0,0.0,85.3014,96.4385,-11.548396128102375,0.568839799316346,1100,stylam-industries,Small Cap,Jan-2025
96608,84153,1,Eris Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,690000.0,668454.0,3.2232584441113374,84.73540000000001,91.82549999999999,-7.721275680502676,0.565065379126137,1100,eris-lifesciences,Small Cap,Jan-2025
152534,6565,1,R Systems International Ltd.,IT,Information Technology,Domestic Equities,1956975.0,1956975.0,0.0,83.0834,91.1461,-8.845907833686798,0.554048873553303,1100,r-systems-international,Small Cap,Jan-2025
211043,110998,1,JNK India Ltd.,Capital Goods,Capital Goods,Domestic Equities,1494918.0,1494918.0,0.0,80.8078,98.14139999999999,-17.661863393022717,0.53887383718433,1100,jnk-india,Small Cap,Jan-2025
133662,6324,1,Century Plyboards (India) Ltd.,Construction Materials,Construction Materials,Domestic Equities,1000000.0,1000000.0,0.0,80.465,73.835,8.979481275817703,0.536587845592098,1100,century-plyboards-india,Small Cap,Jan-2025
171449,6778,1,HLE Glascoat Ltd.,Capital Goods,Capital Goods,Domestic Equities,2401016.0,2401016.0,0.0,76.6044,88.6215,-13.560027758501041,0.51084309897316,1100,hle-glascoat,Small Cap,Jan-2025
154192,90218,1,Anand Rathi Wealth Ltd.,Finance,Finance,Domestic Equities,202608.0,202608.0,0.0,74.1991,79.9096,-7.146200206233046,0.494803146882155,1100,anand-rathi-wealth,Small Cap,Jan-2025
1059,110909,1,Happy Forgings Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,667213.0,667213.0,0.0,70.7846,66.6212,6.249362064928284,0.472033256883097,1100,happy-forgings,Small Cap,Jan-2025
263,6854,1,Carysil Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1000000.0,1000000.0,0.0,69.11,75.02,-7.877899226872834,0.46086604124613,1100,carysil,Small Cap,Jan-2025
37849,7492,1,Sudarshan Chemical Industries Ltd.,Chemicals,Chemicals,Domestic Equities,640000.0,,,63.955200000000005,,,0.426490809450217,1100,sudarshan-chemical-industries,Small Cap,Jan-2025
171520,5812,1,Kalpataru Projects International Ltd.,Infrastructure,Infrastructure,Domestic Equities,600000.0,582847.0,2.9429678800783052,63.519,75.6069,-15.98782650789809,0.423581971840731,1100,kalpataru-projects-international,Small Cap,Jan-2025
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,700000.0,498442.0,40.437603572732634,61.474,43.7483,40.5174601070213,0.409944711612858,1100,pnb-housing-finance,Small Cap,Jan-2025
152190,5796,1,Kajaria Ceramics Ltd.,Construction Materials,Construction Materials,Domestic Equities,613274.0,613274.0,0.0,60.8,71.0754,-14.45704139547579,0.405450084036532,1100,kajaria-ceramics,Small Cap,Jan-2025
56633,6412,1,Graphite India Ltd.,Capital Goods,Capital Goods,Domestic Equities,1120944.0,1120944.0,0.0,53.345699999999994,63.367,-15.814698502375055,0.355740436644533,1100,graphite-india,Small Cap,Jan-2025
208299,109755,1,GHCL Textiles Ltd.,Textile,Textile,Domestic Equities,4100000.0,4100000.0,0.0,38.417,41.0779,-6.477692384469512,0.256187103263675,1100,ghcl-textiles,Small Cap,Jan-2025
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,328273.0,,,36.6271,,,0.244250999556159,1100,max-financial-services,Mid Cap,Jan-2025
204344,106930,1,IRM Energy Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,807846.0,807846.0,0.0,25.435,27.9111,-8.87138092013572,0.169615508017585,1100,irm-energy,Small Cap,Jan-2025
137941,15743,1,Power Mech Projects Ltd.,Infrastructure,Infrastructure,Domestic Equities,90000.0,90000.0,0.0,19.386,23.130399999999998,-16.188219831909525,0.129277225808096,1100,power-mech-projects,Small Cap,Jan-2025
188402,98309,1,Jubilant Ingrevia Ltd.,Chemicals,Chemicals,Domestic Equities,7937996.0,7937996.0,0.0,489.1393,553.0799,-11.560825117672868,3.68414432891435,1100,jubilant-ingrevia,Small Cap,Feb-2025
114411,5677,1,Welspun Corp Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,6500000.0,6500000.0,0.0,478.985,482.3,-0.6873315363881402,3.60766323905079,1100,welspun-corp,Small Cap,Feb-2025
614,7779,1,eClerx Services Ltd.,IT,Information Technology,Domestic Equities,1600000.0,1600000.0,0.0,453.42400000000004,489.30400000000003,-7.332864640387162,3.41514055033741,1100,eclerx-services,Small Cap,Feb-2025
96716,89715,1,Dodla Dairy Ltd,FMCG,Fast Moving Consumer Goods,Domestic Equities,3750000.0,3750000.0,0.0,388.1438,425.55,-8.790083421454595,2.92345714109102,1100,dodla-dairy,Small Cap,Feb-2025
114433,5462,1,Cyient Ltd.,IT,Information Technology,Domestic Equities,2950000.0,2916084.0,1.1630666331971233,373.8093,424.12980000000005,-11.864410376257464,2.8154912367304,1100,cyient,Small Cap,Feb-2025
133631,6516,1,Suprajit Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9260495.0,9260495.0,0.0,371.1143,376.6706,-1.475108490017531,2.79519278807492,1100,suprajit-engineering,Small Cap,Feb-2025
151986,6639,1,Safari Industries (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1629601.0,1629601.0,0.0,348.0909,392.7338,-11.36721616524985,2.62178302823284,1100,safari-industries-india,Small Cap,Feb-2025
152578,8075,1,LT Foods Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,9587705.0,9587705.0,0.0,325.5505,374.0164,-12.958228569656304,2.45201117217576,1100,lt-foods,Small Cap,Feb-2025
133520,5959,1,Triveni Engineering & Industries Ltd.,Agri,Agriculture,Domestic Equities,9200000.0,9200000.0,0.0,320.942,352.54400000000004,-8.963987473903968,2.4173004483803,1100,triveni-engineering-industries,Small Cap,Feb-2025
152591,8270,1,Lumax Auto Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6150000.0,6150000.0,0.0,307.5922,334.0065,-7.90831914947763,2.31675119796812,1100,lumax-auto-technologies,Small Cap,Feb-2025
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2254904.0,2254904.0,0.0,305.6184,325.45029999999997,-6.093680048843091,2.3018847497469,1100,ipca-laboratories,Mid Cap,Feb-2025
171829,5244,1,Thangamayil Jewellery Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,1361027.0,1361027.0,0.0,257.0163,248.1765,3.561900502263508,1.93581898670491,1100,thangamayil-jewellery,Small Cap,Feb-2025
152036,8089,1,TCPL Packaging Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,655000.0,650000.0,0.7692307692307693,256.0198,200.3105,27.811472688650873,1.92831345643211,1100,tcpl-packaging,Small Cap,Feb-2025
37947,6666,1,Dhanuka Agritech Ltd.,Chemicals,Chemicals,Domestic Equities,1927135.0,1897135.0,1.5813318503954648,245.02560000000003,273.8704,-10.532280962090097,1.84550633056644,1100,dhanuka-agritech,Small Cap,Feb-2025
20766,6076,1,Techno Electric & Engineering Company Ltd.,Infrastructure,Infrastructure,Domestic Equities,2500000.0,2500000.0,0.0,243.5125,269.4375,-9.621897471584319,1.83410982494098,1100,techno-electric-engineering-company,Small Cap,Feb-2025
96304,15914,1,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Domestic Equities,1600000.0,1600000.0,0.0,231.12,221.94400000000002,4.134376239051286,1.74077085463933,1100,narayana-hrudayalaya,Small Cap,Feb-2025
171589,6039,1,Swaraj Engines Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,800909.0,800909.0,0.0,209.45770000000002,273.10200000000003,-23.304223330477257,1.57761275285474,1100,swaraj-engines,Small Cap,Feb-2025
65893,102659,1,Archean Chemical Industries Ltd.,Chemicals,Chemicals,Domestic Equities,4050000.0,3750000.0,8.0,203.81619999999998,219.6,-7.187522768670314,1.53512158473235,1100,archean-chemical-industries,Small Cap,Feb-2025
133287,5307,1,Atul Ltd.,Chemicals,Chemicals,Domestic Equities,380193.0,380193.0,0.0,201.8578,238.9779,-15.53285889615735,1.52037112764631,1100,atul,Small Cap,Feb-2025
117,8100,1,Vardhman Textiles Ltd.,Textile,Textile,Domestic Equities,5000000.0,5000000.0,0.0,189.85,228.375,-16.869184455391352,1.42992967615644,1100,vardhman-textiles,Small Cap,Feb-2025
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,500000.0,500000.0,0.0,188.1125,207.435,-9.314966133969678,1.41684301398988,1100,navin-fluorine-international,Small Cap,Feb-2025
19092,7145,1,IFB Industries Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1750000.0,1750000.0,0.0,187.34619999999998,242.3312,-22.690020930032947,1.41107132523118,1100,ifb-industries,Small Cap,Feb-2025
19064,6023,1,Westlife Foodworld Ltd,Hospitality,Hospitality,Domestic Equities,2726563.0,2726563.0,0.0,186.2379,197.90759999999997,-5.896539597266591,1.40272372944459,1100,westlife-foodworld,Small Cap,Feb-2025
311,7883,1,Aarti Drugs Ltd.,Healthcare,Healthcare,Domestic Equities,5300000.0,5250322.0,0.9461895860863391,186.2155,212.84810000000002,-12.512491302482859,1.40255501506616,1100,aarti-drugs,Small Cap,Feb-2025
152060,6169,1,Nilkamal Ltd.,Plastic Products,Plastic Products,Domestic Equities,1178358.0,1178358.0,0.0,186.0509,202.59509999999997,-8.16614024722216,1.40131526566033,1100,nilkamal,Small Cap,Feb-2025
1336,89761,1,Sansera Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1663218.0,1663218.0,0.0,186.0476,209.9646,-11.390967810764295,1.40129041041708,1100,sansera-engineering,Small Cap,Feb-2025
133044,7653,1,Ratnamani Metals & Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,750000.0,750000.0,0.0,184.395,214.395,-13.992863639543831,1.38884320587236,1100,ratnamani-metals-tubes,Small Cap,Feb-2025
195761,102061,1,Campus Activewear Ltd.,FMCG,Retailing,Domestic Equities,6550000.0,6100000.0,7.377049180327869,170.72580000000002,166.347,2.632328806651163,1.28588826918909,1100,campus-activewear,Small Cap,Feb-2025
134937,5507,1,Kirloskar Oil Engines Ltd.,Capital Goods,Capital Goods,Domestic Equities,2900000.0,2800000.0,3.571428571428571,167.06900000000002,252.96599999999998,-33.95594664895677,1.25834564690956,1100,kirloskar-oil-engines,Small Cap,Feb-2025
96376,16986,1,Shriram Pistons & Rings Ltd,Capital Goods,Capital Goods,Domestic Equities,900000.0,860000.0,4.651162790697675,166.2975,174.6703,-4.793488074389286,1.25253479231301,1100,shriram-pistons-rings,Small Cap,Feb-2025
140194,102059,1,Rainbow Children's Medicare Ltd.,Healthcare,Healthcare,Domestic Equities,1336915.0,1336915.0,0.0,165.72400000000002,190.34330000000003,-12.934156337522781,1.24821525231156,1100,rainbow-children's-medicare,Small Cap,Feb-2025
152554,7075,1,Voltamp Transformers Ltd.,Capital Goods,Capital Goods,Domestic Equities,260000.0,260000.0,0.0,163.22799999999998,217.31189999999998,-24.88768447563157,1.22941565014308,1100,voltamp-transformers,Small Cap,Feb-2025
192109,100019,1,Prudent Corporate Advisory Services Ltd.,Finance,Finance,Domestic Equities,984933.0,988000.0,-0.3104251012145749,162.9719,200.7616,-18.823171363447987,1.22748673262892,1100,prudent-corporate-advisory-services,Small Cap,Feb-2025
158970,15023,1,Greenlam Industries Ltd.,Construction Materials,Construction Materials,Domestic Equities,3600000.0,3600000.0,0.0,162.162,198.93599999999998,-18.485342019543964,1.22138665338362,1100,greenlam-industries,Small Cap,Feb-2025
171778,6916,1,Shoppers Stop Ltd.,Retailing,Retailing,Domestic Equities,2919497.0,2919497.0,0.0,152.7481,167.34560000000002,-8.722966125192427,1.1504821762787,1100,shoppers-stop,Small Cap,Feb-2025
133393,7068,1,GHCL Ltd.,Chemicals,Chemicals,Domestic Equities,2600000.0,2600000.0,0.0,150.28,190.07299999999998,-20.935640517064495,1.13189271389407,1100,ghcl,Small Cap,Feb-2025
842,17090,1,S.P. Apparels Ltd.,Textile,Textile,Domestic Equities,2176332.0,2176332.0,0.0,147.7512,179.1557,-17.52916597127526,1.11284606567145,1100,sp-apparels,Small Cap,Feb-2025
152192,8410,1,Kalyani Steels Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,1832585.0,1848243.0,-0.84718297323458,133.797,165.2884,-19.052395691409675,1.00774453979828,1100,kalyani-steels,Small Cap,Feb-2025
38104,5131,1,La Opala RG Ltd.,Construction Materials,Construction Materials,Domestic Equities,6577549.0,6577549.0,0.0,133.59,178.2845,-25.069201192476076,1.00618543817613,1100,la-opala-rg,Small Cap,Feb-2025
1607,90490,1,Prince Pipes and Fittings Ltd.,Plastic Products,Plastic Products,Domestic Equities,4618486.0,4618486.0,0.0,132.412,171.1611,-22.63896411041995,0.997312869524502,1100,prince-pipes-and-fittings,Small Cap,Feb-2025
153043,7287,1,Just Dial Ltd.,Business Services,Information Technology,Domestic Equities,1543718.0,1543718.0,0.0,129.7109,137.5916,-5.727602557132847,0.976968476328473,1100,just-dial,Small Cap,Feb-2025
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,230000.0,230000.0,0.0,129.459,149.54139999999998,-13.429324588374858,0.975071192760267,1100,amber-enterprises-india,Small Cap,Feb-2025
155709,99978,1,Paradeep Phosphates Ltd.,Chemicals,Chemicals,Domestic Equities,14083102.0,16000000.0,-11.9806125,122.3681,180.49599999999998,-32.204536388618024,0.921663300526094,1100,paradeep-phosphates,Small Cap,Feb-2025
817,98504,1,Rolex Rings Ltd,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,851772.0,851772.0,0.0,120.4959,153.1742,-21.334075843059733,0.907562092521353,1100,rolex-rings,Small Cap,Feb-2025
